problem,method,case,h,k,lambda,stability,time steps,space intervals,total iterations,max step iterations,converged,final max error,max error,mean error
Problem B,Backward Difference,stable_h_0p025_k_0p00025,0.025,0.00025,0.3999999999999999,stable,8000,40,84930,18,True,1.8454878995388461e-10,0.0006422692532197516,5.4946496612734766e-05
Problem B,Crank-Nicolson,stable_h_0p025_k_0p00025,0.025,0.00025,0.3999999999999999,stable,8000,40,63687,13,True,5.882778684118643e-11,0.0001889286500493803,1.6152999210559116e-05
Problem B,Forward Difference,stable_h_0p025_k_0p00025,0.025,0.00025,0.3999999999999999,stable,8000,40,0,0,True,3.778031138601658e-11,0.00026497143938525314,2.2640491458471473e-05
Problem B,Backward Difference,stable_h_0p05_k_0p001,0.05,0.001,0.3999999999999999,stable,2000,20,23359,19,True,4.1391278153408073e-10,0.0025608503426906015,0.0002140131517143779
Problem B,Crank-Nicolson,stable_h_0p05_k_0p001,0.05,0.001,0.3999999999999999,stable,2000,20,17456,14,True,1.197031096563163e-10,0.0007535966030260965,6.282440945832847e-05
Problem B,Forward Difference,stable_h_0p05_k_0p001,0.05,0.001,0.3999999999999999,stable,2000,20,0,0,True,1.4847250240956304e-10,0.0010625823987978622,8.836433302877874e-05
Problem B,Backward Difference,stable_h_0p1_k_0p0005,0.1,0.0005,0.04999999999999999,stable,4000,10,22288,9,True,6.264403624719822e-10,0.003926591889986786,0.0003119522463759588
Problem B,Crank-Nicolson,stable_h_0p1_k_0p0005,0.1,0.0005,0.04999999999999999,stable,4000,10,19367,7,True,4.71449025694149e-10,0.0030274283038572714,0.00024022300684913635
Problem B,Forward Difference,stable_h_0p1_k_0p0005,0.1,0.0005,0.04999999999999999,stable,4000,10,0,0,True,3.222946088359536e-10,0.002126068853744334,0.00016849376708523824
Problem B,Backward Difference,stable_h_0p1_k_0p005,0.1,0.005,0.4999999999999999,stable,400,10,5277,20,True,2.3297580039287206e-09,0.01184964872291483,0.0009495392022468638
Problem B,Crank-Nicolson,stable_h_0p1_k_0p005,0.1,0.005,0.4999999999999999,stable,400,10,3939,15,True,4.5864626404709173e-10,0.002954284265302032,0.0002338567018959243
Problem B,Forward Difference,stable_h_0p1_k_0p005,0.1,0.005,0.4999999999999999,stable,400,10,0,0,True,7.586935772430966e-10,0.006163504616922388,0.00048182581892511854
Problem B,Backward Difference,unstable_h_0p1_k_0p01,0.1,0.01,0.9999999999999998,unstable,200,10,3974,30,True,5.063102590500363e-09,0.020320352027223598,0.001643468077212458
Problem B,Crank-Nicolson,unstable_h_0p1_k_0p01,0.1,0.01,0.9999999999999998,unstable,200,10,2706,20,True,4.222950349325401e-10,0.0027337350660402993,0.0002156637121638887
Problem B,Forward Difference,unstable_h_0p1_k_0p01,0.1,0.01,0.9999999999999998,unstable,200,10,0,0,True,1.5172884428962342e+76,1.5172884428962342e+76,6.61066112925569e+73
