method,h,k,lambda,max error,empirical order by max error,final max error,empirical order by final max error
Backward Difference,0.1,0.004,0.3999999999999999,0.04013208838704552,,0.009778654739831305,
Backward Difference,0.05,0.001,0.3999999999999999,0.011338697906502215,1.823501256689678,0.0025128878053321535,1.9602897460652726
Backward Difference,0.025,0.00025,0.3999999999999999,0.0029492958422517868,1.9428125253890913,0.000631993246898499,1.991365211815265
Backward Difference,0.0125,6.25e-05,0.3999999999999999,0.0007425351122699597,1.9898393922252997,0.00015822678393506706,1.9979153091461508
Crank-Nicolson,0.1,0.004,0.3999999999999999,0.011933706320087833,,0.002928347957535604,
Crank-Nicolson,0.05,0.001,0.3999999999999999,0.0033457563334730045,1.834637893806347,0.0007416808598611491,1.9812165465734823
Crank-Nicolson,0.025,0.00025,0.3999999999999999,0.0008683063720941187,1.94605630358327,0.0001860325294748555,1.9952436269765716
Crank-Nicolson,0.0125,6.25e-05,0.3999999999999999,0.00021845133704034847,1.990892235258982,4.6546711964579046e-05,1.9988037464310016
Forward Difference,0.1,0.004,0.3999999999999999,0.021335621515962133,,0.004247373984676062,
Forward Difference,0.05,0.001,0.3999999999999999,0.004983630435392072,2.0979951441078923,0.0010476717347962516,2.0193843942364715
Forward Difference,0.025,0.00025,0.3999999999999999,0.0012345918768679187,2.013162884131333,0.00026102920110165906,2.004903636562911
Forward Difference,0.0125,6.25e-05,0.3999999999999999,0.00030701730477700195,2.0076423248200292,6.520173531165963e-05,2.00122894212951
